id,name
1,MG UNIVERSITY
2,CALICUT UNIVERSITY
3,KANNUR UNIVERSITY
4,KERALA UNIVERSITY
5,AMRITA VISHWA VIDYAPEETHAM
6,MANGLORE UNIVERSITY
7,Bharathiar University
8,BANGALORE UNIVERSITY
9,ANDHRA UNIVERSITY
10,MADRAS UNIVERSITY
11,"Christ (Deemed to be University), Bengaluru"
12,UNIVERSITY OF DELHI
13,Ranchi University
14,SRM University
15,IGNOU-
16,KOTTA UNIVERSITY
17,MADRAS CHRISTIAN COLLEGE
18,MANONMANIAM SUNDARANAR UNIVERSITY
19,MADURAI KAMARAJ UNIVERSITY
20,MYSORE UNIVERSITY
21,MANIPAL ACADEMY OF HIGHER EDUCATION
22,"GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY, DELHI"
23,Kerala Technological University
24,Jamal Mohamed College
25,"LOYOLA COLLEGE, CHENNAI"
26,BHARATHIDASAN UNIVERSITY
27,The maharaja sayajiroa university of baroda
28,THE ENGLISH AND FOREIGN LANGUAGES UNIVERSITY
29,"PANJAB UNIVERSITY,CHANDIGARH"
30,University of Mumbai
31,RASHTRASANT TUKADOJI MAHARAJ NAGPUR UNIVERSITY
32,Maharshi Dayanand University
33,Gujarat University
34,Bengaluru city University
35,SARDAR PATEL UNIVERSITY
36,Lucknow university
37,Pondicherry University
38,Azim Premji University
39,Garden City University
40,Amity University Maharashtra
41,Rabindranath Tagore University
42,"CHINMAYA VISHWAVIDYAPEETH, Deemed to be University"
43,Jain Deemed-to-be University
44,Bangalore North University
45,Parul University
46,THE UNIVERSITY OF BURDWAN
47,Yenepoya deemed to be university
48,ANNA UNIVERSITY
49,Savitribai Phule Pune University
50,"Maulana Abul Kalam Azad University of Technology, West Bengal"
51,St. Joseph's University BENGALURU
